Age,Overall rating,Height in cm,Weight in kg,Value,Wage,Total attacking,Total skill,Total movement,Total power,Total mentality,Total defending,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,ATT,DEF,GK,MID
25,83,187,90,€45M,€22K,74.4,69,82.8,88,73.33,28,10,13,11,14,8,TRUE,FALSE,FALSE,FALSE
17,73,182,76,€6.5M,€550,54,59.8,79,61.2,61,72,8,5,5,13,9,FALSE,FALSE,FALSE,TRUE
20,78,191,79,€31M,€82K,65.2,61.2,75.6,81,66.67,26.33,12,8,9,14,7,TRUE,FALSE,FALSE,FALSE
20,87,177,71,€118.5M,€77K,73.4,81.4,84,69.4,70.67,50.33,14,14,13,6,10,FALSE,FALSE,FALSE,TRUE
17,72,187,70,€5.5M,€4K,64.2,67.2,73.4,68.4,68.5,70,15,12,13,6,5,FALSE,FALSE,FALSE,TRUE
18,76,172,78,€17.5M,€44K,67,71.2,81.2,75.4,55.17,14.67,13,14,12,6,9,TRUE,FALSE,FALSE,FALSE
22,89,176,73,€158.5M,€310K,75.4,80.4,90.8,76.2,69.33,25,5,7,7,7,10,FALSE,FALSE,FALSE,TRUE
22,78,193,89,€32M,€34K,70.2,73,73.6,77,62.17,19.67,6,11,12,8,14,FALSE,FALSE,FALSE,TRUE
22,81,173,64,€52.5M,€40K,70.4,78.2,83.2,69.6,60.17,43,6,7,15,10,10,FALSE,FALSE,FALSE,TRUE
18,75,183,77,€13M,€20K,68.2,67.8,76.4,71,58.67,27,12,9,15,7,11,TRUE,FALSE,FALSE,FALSE
18,72,184,80,€5M,€16K,61.6,66.2,75.8,66.8,65.33,68.33,14,11,10,5,9,FALSE,FALSE,FALSE,TRUE
21,80,180,77,€43M,€38K,73.2,71.6,87.6,76.6,64.17,31.33,12,12,7,12,7,FALSE,FALSE,FALSE,TRUE
27,83,187,82,€33M,€41K,76.6,72.2,71.2,81.4,72.17,35,11,8,12,12,8,TRUE,FALSE,FALSE,FALSE
18,78,174,66,€22M,€5K,65.6,71.2,79.4,75,74.67,78.67,8,7,5,13,13,FALSE,FALSE,FALSE,TRUE
36,90,169,67,€41M,€23K,81.8,93,87,76.4,73,26.33,6,11,15,14,8,FALSE,FALSE,FALSE,TRUE
38,86,187,85,€23M,€66K,82.8,77.6,75.4,85.2,73.5,26.67,7,11,15,14,11,TRUE,FALSE,FALSE,FALSE
19,77,172,67,€23M,€12K,63,70.6,81.6,67.8,65.5,51.67,6,9,11,8,11,FALSE,FALSE,FALSE,TRUE
17,65,185,77,€2.3M,€2K,59.6,54.8,66.8,62.2,50.33,22.67,10,7,12,8,6,TRUE,FALSE,FALSE,FALSE
24,87,185,80,€88.5M,€150K,68.6,77.6,69.2,79.4,77.33,85.33,8,11,14,5,9,FALSE,FALSE,FALSE,TRUE
20,83,182,68,€71.5M,€135K,70,77,80.2,77.8,77.17,79.67,12,6,8,12,12,FALSE,FALSE,FALSE,TRUE
23,81,180,76,€37M,€110K,71.2,78.4,82.2,54.4,63.5,28.33,7,11,10,11,13,FALSE,FALSE,FALSE,TRUE
21,76,182,77,€17M,€31K,69.4,67,77.6,75.8,56.83,45,6,10,14,10,10,FALSE,FALSE,FALSE,TRUE
27,84,190,85,€43M,€110K,67.8,69.8,67.4,82.8,76.67,86.33,14,10,8,7,7,FALSE,TRUE,FALSE,FALSE
21,80,184,73,€47.5M,€37K,68.2,79.8,82.6,64.2,71.33,53,9,11,9,10,10,FALSE,FALSE,FALSE,TRUE
20,78,179,70,€31M,€17K,68,71.6,80.6,69.6,55.17,28.67,7,14,7,6,9,FALSE,FALSE,FALSE,TRUE
26,84,190,86,€46M,€82K,47.6,49.6,74.2,67.2,63,86,13,7,11,14,11,FALSE,TRUE,FALSE,FALSE
22,77,175,61,€21.5M,€76K,62.8,71.6,85.2,66.8,60.67,42.33,10,12,14,6,7,FALSE,FALSE,FALSE,TRUE
22,86,183,70,€109M,€95K,73.6,80.2,83.4,77.6,69,37,9,15,8,14,8,FALSE,FALSE,FALSE,TRUE
22,82,190,91,€40M,€60K,72.2,73.8,70.4,82.4,69.83,31.67,14,5,7,7,12,TRUE,FALSE,FALSE,FALSE
20,80,182,72,€30.5M,€22K,63.6,65.2,76,65.4,64,76,10,7,7,10,9,FALSE,TRUE,FALSE,FALSE
19,76,180,72,€16M,€49K,65.6,69,84.6,65.8,63.33,32.67,6,15,14,13,7,FALSE,FALSE,FALSE,TRUE
18,75,169,70,€11.5M,€23K,57.2,64.8,76.8,55.6,66.17,72.33,11,8,11,12,13,FALSE,TRUE,FALSE,FALSE
22,91,195,94,€185M,€340K,78.6,72.6,84,88.4,78.83,38,7,14,13,11,7,TRUE,FALSE,FALSE,FALSE
21,78,181,70,€28.5M,€73K,72,76.2,78.8,72.6,62.83,33,5,6,6,9,8,FALSE,FALSE,FALSE,TRUE
17,70,173,67,€3.6M,€3K,55.8,65.4,78.4,59.2,58.17,30.33,8,14,13,14,14,FALSE,FALSE,FALSE,TRUE
18,72,183,74,€5M,€2K,54.4,57,72.8,59,56.5,69.33,14,5,12,6,11,FALSE,TRUE,FALSE,FALSE
24,91,182,75,€181.5M,€230K,83,81,92.4,85.2,75,30.67,13,5,7,11,6,TRUE,FALSE,FALSE,FALSE
19,79,187,82,€35.5M,€8K,56,55.6,70.4,66.4,60.5,79.67,12,10,8,6,8,FALSE,TRUE,FALSE,FALSE
23,83,170,71,€52.5M,€150K,76.6,81.2,85,80.8,76.33,53.67,6,10,8,15,6,FALSE,FALSE,FALSE,TRUE
25,73,185,75,€3.8M,€15K,52,57,72.8,59,64.5,72,5,8,5,13,12,FALSE,TRUE,FALSE,FALSE
16,64,182,75,€1.4M,€1K,39.4,41.4,64.4,48.6,46.5,65.33,10,6,14,7,14,FALSE,TRUE,FALSE,FALSE
22,77,180,70,€16M,€47K,60.6,71.6,78.2,65.4,64.5,73.33,15,11,8,14,12,FALSE,TRUE,FALSE,FALSE
19,73,181,76,€7M,€32K,56.8,67.6,71.8,71.6,65.17,72.67,7,7,5,11,13,FALSE,FALSE,FALSE,TRUE
34,78,182,76,€4.1M,€45K,73.4,86,62.6,62.8,53.17,26,7,14,13,6,14,FALSE,FALSE,FALSE,TRUE
19,65,174,65,€1.8M,€3K,53.2,60.8,73.2,54.4,54.5,46.67,10,7,9,5,8,FALSE,FALSE,FALSE,TRUE
23,82,170,68,€43.5M,€145K,65.6,75.8,85.8,66.4,62.17,28,13,9,13,10,6,FALSE,FALSE,FALSE,TRUE
17,62,178,72,€1M,€900,51.4,58.4,71.2,53.4,52,53.67,9,13,7,11,8,FALSE,FALSE,FALSE,TRUE
18,77,175,70,€22M,€41K,68,80.6,76,61.6,65.5,51.67,13,10,11,14,10,FALSE,FALSE,FALSE,TRUE
26,74,168,69,€5M,€19K,71.6,70.4,83.4,69.2,65.83,43.67,13,16,10,14,12,TRUE,FALSE,FALSE,FALSE
18,77,179,72,€22.5M,€18K,68.6,63.6,81.8,72,59.33,28.67,13,13,11,10,13,TRUE,FALSE,FALSE,FALSE
24,82,193,82,€46M,€110K,80.8,77,76.4,77,71.83,44.33,6,8,11,10,12,FALSE,FALSE,FALSE,TRUE
20,88,186,75,€128.5M,€230K,77,78.2,82.2,81.6,81.83,77.67,14,11,10,5,8,FALSE,FALSE,FALSE,TRUE
23,74,182,70,€6M,€15K,59.2,72.8,75.6,66.6,64.33,67.67,13,6,9,10,13,FALSE,TRUE,FALSE,FALSE
23,84,192,77,€52.5M,€130K,77.6,73.4,80.6,79.4,71,32.67,7,6,9,7,11,TRUE,FALSE,FALSE,FALSE
34,82,180,71,€14.5M,€60K,75.8,84,74,71,73.5,55,12,12,13,13,11,FALSE,FALSE,FALSE,TRUE
21,81,189,74,€39.5M,€76K,72.8,77.4,78,72,75.83,49.33,7,6,10,14,14,FALSE,FALSE,FALSE,TRUE
21,70,180,75,€3.3M,€5K,44.2,44.2,77.4,62.4,55.17,70,7,8,11,6,9,FALSE,TRUE,FALSE,FALSE
17,66,191,75,€2.1M,€1K,57,60.6,67.8,63,60.33,62.33,10,10,13,15,11,FALSE,FALSE,FALSE,TRUE
17,81,178,68,€43.5M,€11K,66.2,72,79.2,77.4,74.67,74.67,14,11,7,8,15,FALSE,FALSE,FALSE,TRUE
22,76,182,76,€11.5M,€49K,66,75.2,77.6,67,60.5,47.67,14,13,11,15,5,FALSE,FALSE,FALSE,TRUE
25,83,187,90,€45M,€22K,74.4,69,82.8,88,73.33,28,10,13,11,14,8,TRUE,FALSE,FALSE,FALSE
17,73,182,76,€6.5M,€550,54,59.8,79,61.2,61,72,8,5,5,13,9,FALSE,FALSE,FALSE,TRUE
20,78,191,79,€31M,€82K,65.2,61.2,75.6,81,66.67,26.33,12,8,9,14,7,TRUE,FALSE,FALSE,FALSE
20,87,177,71,€118.5M,€77K,73.4,81.4,84,69.4,70.67,50.33,14,14,13,6,10,FALSE,FALSE,FALSE,TRUE
17,72,187,70,€5.5M,€4K,64.2,67.2,73.4,68.4,68.5,70,15,12,13,6,5,FALSE,FALSE,FALSE,TRUE
18,76,172,78,€17.5M,€44K,67,71.2,81.2,75.4,55.17,14.67,13,14,12,6,9,TRUE,FALSE,FALSE,FALSE
22,89,176,73,€158.5M,€310K,75.4,80.4,90.8,76.2,69.33,25,5,7,7,7,10,FALSE,FALSE,FALSE,TRUE
22,78,193,89,€32M,€34K,70.2,73,73.6,77,62.17,19.67,6,11,12,8,14,FALSE,FALSE,FALSE,TRUE
22,81,173,64,€52.5M,€40K,70.4,78.2,83.2,69.6,60.17,43,6,7,15,10,10,FALSE,FALSE,FALSE,TRUE
18,72,184,80,€5M,€16K,61.6,66.2,75.8,66.8,65.33,68.33,14,11,10,5,9,FALSE,FALSE,FALSE,TRUE
21,80,180,77,€43M,€38K,73.2,71.6,87.6,76.6,64.17,31.33,12,12,7,12,7,FALSE,FALSE,FALSE,TRUE
27,83,187,82,€33M,€41K,76.6,72.2,71.2,81.4,72.17,35,11,8,12,12,8,TRUE,FALSE,FALSE,FALSE
18,75,183,77,€13M,€20K,68.2,67.8,76.4,71,58.67,27,12,9,15,7,11,TRUE,FALSE,FALSE,FALSE
18,78,174,66,€22M,€5K,65.6,71.2,79.4,75,74.67,78.67,8,7,5,13,13,FALSE,FALSE,FALSE,TRUE
36,90,169,67,€41M,€23K,81.8,93,87,76.4,73,26.33,6,11,15,14,8,FALSE,FALSE,FALSE,TRUE
38,86,187,85,€23M,€66K,82.8,77.6,75.4,85.2,73.5,26.67,7,11,15,14,11,TRUE,FALSE,FALSE,FALSE
24,87,185,80,€88.5M,€150K,68.6,77.6,69.2,79.4,77.33,85.33,8,11,14,5,9,FALSE,FALSE,FALSE,TRUE
20,83,182,68,€71.5M,€135K,70,77,80.2,77.8,77.17,79.67,12,6,8,12,12,FALSE,FALSE,FALSE,TRUE
19,77,172,67,€23M,€12K,63,70.6,81.6,67.8,65.5,51.67,6,9,11,8,11,FALSE,FALSE,FALSE,TRUE
23,81,180,76,€37M,€110K,71.2,78.4,82.2,54.4,63.5,28.33,7,11,10,11,13,FALSE,FALSE,FALSE,TRUE
17,65,185,77,€2.3M,€2K,59.6,54.8,66.8,62.2,50.33,22.67,10,7,12,8,6,TRUE,FALSE,FALSE,FALSE
21,76,182,77,€17M,€31K,69.4,67,77.6,75.8,56.83,45,6,10,14,10,10,FALSE,FALSE,FALSE,TRUE
21,80,184,73,€47.5M,€37K,68.2,79.8,82.6,64.2,71.33,53,9,11,9,10,10,FALSE,FALSE,FALSE,TRUE
27,84,190,85,€43M,€110K,67.8,69.8,67.4,82.8,76.67,86.33,14,10,8,7,7,FALSE,TRUE,FALSE,FALSE
20,78,179,70,€31M,€17K,68,71.6,80.6,69.6,55.17,28.67,7,14,7,6,9,FALSE,FALSE,FALSE,TRUE
26,84,190,86,€46M,€82K,47.6,49.6,74.2,67.2,63,86,13,7,11,14,11,FALSE,TRUE,FALSE,FALSE
22,77,175,61,€21.5M,€76K,62.8,71.6,85.2,66.8,60.67,42.33,10,12,14,6,7,FALSE,FALSE,FALSE,TRUE
22,86,183,70,€109M,€95K,73.6,80.2,83.4,77.6,69,37,9,15,8,14,8,FALSE,FALSE,FALSE,TRUE
20,80,182,72,€30.5M,€22K,63.6,65.2,76,65.4,64,76,10,7,7,10,9,FALSE,TRUE,FALSE,FALSE
22,82,190,91,€40M,€60K,72.2,73.8,70.4,82.4,69.83,31.67,14,5,7,7,12,TRUE,FALSE,FALSE,FALSE
19,76,180,72,€16M,€49K,65.6,69,84.6,65.8,63.33,32.67,6,15,14,13,7,FALSE,FALSE,FALSE,TRUE
18,75,169,70,€11.5M,€23K,57.2,64.8,76.8,55.6,66.17,72.33,11,8,11,12,13,FALSE,TRUE,FALSE,FALSE
22,91,195,94,€185M,€340K,78.6,72.6,84,88.4,78.83,38,7,14,13,11,7,TRUE,FALSE,FALSE,FALSE
21,78,181,70,€28.5M,€73K,72,76.2,78.8,72.6,62.83,33,5,6,6,9,8,FALSE,FALSE,FALSE,TRUE
18,72,183,74,€5M,€2K,54.4,57,72.8,59,56.5,69.33,14,5,12,6,11,FALSE,TRUE,FALSE,FALSE
17,70,173,67,€3.6M,€3K,55.8,65.4,78.4,59.2,58.17,30.33,8,14,13,14,14,FALSE,FALSE,FALSE,TRUE
19,79,187,82,€35.5M,€8K,56,55.6,70.4,66.4,60.5,79.67,12,10,8,6,8,FALSE,TRUE,FALSE,FALSE
24,91,182,75,€181.5M,€230K,83,81,92.4,85.2,75,30.67,13,5,7,11,6,TRUE,FALSE,FALSE,FALSE
23,83,170,71,€52.5M,€150K,76.6,81.2,85,80.8,76.33,53.67,6,10,8,15,6,FALSE,FALSE,FALSE,TRUE
25,73,185,75,€3.8M,€15K,52,57,72.8,59,64.5,72,5,8,5,13,12,FALSE,TRUE,FALSE,FALSE
16,64,182,75,€1.4M,€1K,39.4,41.4,64.4,48.6,46.5,65.33,10,6,14,7,14,FALSE,TRUE,FALSE,FALSE
22,77,180,70,€16M,€47K,60.6,71.6,78.2,65.4,64.5,73.33,15,11,8,14,12,FALSE,TRUE,FALSE,FALSE
19,73,181,76,€7M,€32K,56.8,67.6,71.8,71.6,65.17,72.67,7,7,5,11,13,FALSE,FALSE,FALSE,TRUE
22,77,180,70,€16M,€47K,60.6,71.6,78.2,65.4,64.5,73.33,15,11,8,14,12,FALSE,TRUE,FALSE,FALSE
20,82,179,61,€60.5M,€71K,71.2,78.6,85.6,76,73.17,59.33,9,11,5,8,10,FALSE,FALSE,FALSE,TRUE
20,81,186,73,€35.5M,€62K,68.2,68,80.6,75.4,72.33,76.67,8,14,11,10,14,FALSE,TRUE,FALSE,FALSE
22,80,193,81,€31M,€69K,58.8,58.4,71.4,68.8,63.5,81,7,13,13,11,7,FALSE,TRUE,FALSE,FALSE
33,82,191,86,€19.5M,€19K,77.6,71,60.8,80.6,69.17,24.67,11,11,8,15,7,TRUE,FALSE,FALSE,FALSE
22,82,186,74,€47M,€110K,78,84.8,78.6,79.8,74,57.67,10,10,13,10,6,FALSE,FALSE,FALSE,TRUE
24,86,188,81,€102.5M,€110K,75.8,76.2,87.4,79.4,64.5,22.33,10,12,15,11,9,TRUE,FALSE,FALSE,FALSE
26,81,189,78,€28M,€36K,72,66.8,75,80.8,67.5,27.67,13,13,5,12,10,TRUE,FALSE,FALSE,FALSE
21,72,189,78,€4.6M,€14K,15.8,21.8,50.6,36.8,24.33,13,73,71,74,69,75,FALSE,FALSE,TRUE,FALSE
20,77,181,71,€22M,€57K,58.6,67.2,77.6,64.2,66.17,75,10,12,8,13,13,FALSE,TRUE,FALSE,FALSE
19,80,176,71,€45.5M,€7K,68.2,73.6,82.4,63,59,30.67,9,12,8,9,12,FALSE,FALSE,FALSE,TRUE
22,78,182,69,€27.5M,€20K,73.8,69.2,74.2,80,74.17,38.67,6,14,12,6,10,TRUE,FALSE,FALSE,FALSE
21,75,188,86,€12M,€19K,59.8,69.4,70.8,76,64.17,76,9,11,5,6,11,FALSE,TRUE,FALSE,FALSE
19,75,176,71,€11.5M,€20K,61.8,59.8,79.6,65.8,64.83,69.67,8,13,10,13,13,FALSE,TRUE,FALSE,FALSE
28,82,171,67,€31M,€140K,77.4,79.6,83.6,73.6,64.5,26.33,14,8,11,7,7,TRUE,FALSE,FALSE,FALSE
24,88,182,78,€124M,€270K,76.8,80.4,81.8,85.4,79.83,81.33,6,10,6,15,8,FALSE,FALSE,FALSE,TRUE
22,80,171,62,€47.5M,€11K,65.8,81.6,86.2,67.4,72.5,50.67,12,8,9,8,10,FALSE,FALSE,FALSE,TRUE
24,83,187,81,€52.5M,€130K,76.4,72.4,81.6,86,74.83,40.67,14,10,12,10,13,TRUE,FALSE,FALSE,FALSE
21,79,183,77,€33M,€36K,56.8,61,77,64,62.33,80.67,9,15,10,6,9,FALSE,TRUE,FALSE,FALSE
21,80,185,78,€40M,€12K,52.2,56.4,73.8,67.6,66.17,81,6,6,7,10,7,FALSE,TRUE,FALSE,FALSE
16,70,185,76,€4M,€3K,62.4,59.2,72.6,70.4,50.83,23.33,9,7,10,5,7,TRUE,FALSE,FALSE,FALSE
29,90,188,85,€119.5M,€170K,88,80.8,73.8,86.6,81.17,43.33,8,10,11,14,11,TRUE,FALSE,FALSE,FALSE
21,77,195,74,€22M,€26K,50.8,47.8,63.2,61.8,53.5,78,10,9,11,12,10,FALSE,TRUE,FALSE,FALSE
19,74,166,71,€9M,€21K,65.2,63.6,82.8,72.2,60.17,25.67,11,9,10,10,13,TRUE,FALSE,FALSE,FALSE
25,83,186,70,€43.5M,€140K,75.4,78.8,81.6,77.6,67,27.67,11,6,15,7,14,FALSE,FALSE,FALSE,TRUE
20,86,184,72,€134.5M,€79K,69.4,76,88,68.8,71,65,6,9,8,8,11,FALSE,FALSE,FALSE,TRUE
18,74,179,77,€10M,€12K,61.6,64.2,85.4,59.6,51.83,23.33,6,5,12,7,8,FALSE,FALSE,FALSE,TRUE
17,69,166,64,€3M,€900,61.6,71,78.6,65.2,63.5,40.67,7,10,11,7,8,FALSE,FALSE,FALSE,TRUE
27,75,168,67,€6M,€40K,68.8,69.4,82,71.2,69.33,47,13,9,15,11,14,FALSE,FALSE,FALSE,TRUE
24,87,178,68,€108M,€170K,78.6,86.6,80.6,74.6,76.67,63.67,14,15,15,8,10,FALSE,FALSE,FALSE,TRUE
30,77,197,84,€10.5M,€51K,70.4,57.4,57.4,82.6,72.67,54.67,11,9,14,16,12,TRUE,FALSE,FALSE,FALSE
24,82,191,83,€25.5M,€89K,14.4,16.2,43,44.2,31.17,15.33,79,80,78,80,85,FALSE,FALSE,TRUE,FALSE
21,86,178,65,€99M,€150K,75,79.8,85.6,76.2,77,60.67,7,8,13,9,13,FALSE,FALSE,FALSE,TRUE
21,76,168,57,€16M,€53K,61.8,69,83.6,64.8,65.33,71.33,9,10,12,15,9,FALSE,TRUE,FALSE,FALSE
19,81,175,69,€53M,€70K,61.6,62.2,82.8,61.8,60.33,77,5,8,7,10,13,FALSE,TRUE,FALSE,FALSE
19,75,180,72,€13.5M,€42K,64.2,75.2,76.2,69.6,70.5,68,11,9,6,14,12,FALSE,FALSE,FALSE,TRUE
26,86,172,68,€79.5M,€135K,75.6,79.8,86,80.2,82,81.33,11,5,13,14,11,FALSE,FALSE,FALSE,TRUE
24,87,186,77,€110M,€100K,78.2,67.2,82.8,84.8,69.5,34.33,14,14,10,9,6,TRUE,FALSE,FALSE,FALSE
22,82,185,77,€43.5M,€59K,71.4,71.2,88.6,75,73.33,71.67,11,11,6,5,14,FALSE,FALSE,FALSE,TRUE
22,79,188,77,€31.5M,€48K,71.4,75.2,73.6,77,75.67,65.67,14,12,5,13,6,FALSE,FALSE,FALSE,TRUE
22,84,171,64,€57M,€63K,64.6,70.6,89.4,66.2,72.5,78,12,7,8,13,14,FALSE,TRUE,FALSE,FALSE
21,77,192,76,€15.5M,€26K,64,64.6,66.6,73.8,67.5,75.67,7,12,12,9,10,FALSE,FALSE,FALSE,TRUE
21,67,178,73,€2.5M,€16K,57,62.4,72.4,60.8,51.5,29.67,12,9,13,14,12,FALSE,FALSE,FALSE,TRUE
20,80,186,70,€35M,€65K,75,72,79.8,69.6,65.5,30,8,8,15,6,6,TRUE,FALSE,FALSE,FALSE
27,86,171,68,€65.5M,€88K,73.2,86.2,83.4,78.8,74.5,76,7,13,10,7,13,FALSE,TRUE,FALSE,FALSE
23,86,171,69,€97.5M,€195K,71,82.2,85.4,72.6,74,55.33,8,15,6,10,13,FALSE,FALSE,FALSE,TRUE
24,74,189,82,€6M,€19K,67.8,59.8,81.2,69,66,47.33,8,13,13,9,11,TRUE,FALSE,FALSE,FALSE
21,78,184,71,€31.5M,€28K,62.4,71.2,72,72.4,67.83,57.33,13,14,13,6,9,FALSE,FALSE,FALSE,TRUE
18,75,188,82,€11.5M,€2K,16,16.4,42,43.8,20.33,13.67,76,72,75,73,78,FALSE,FALSE,TRUE,FALSE
24,83,176,68,€47M,€57K,77,74.2,87,78.4,68,32.33,7,9,9,10,14,TRUE,FALSE,FALSE,FALSE
25,72,178,73,€2.8M,€15K,67.2,67.6,75.4,70,60.83,32.33,9,8,7,7,8,FALSE,FALSE,FALSE,TRUE
22,79,173,66,€35.5M,€68K,74.8,80.4,79,70,72.33,46,11,12,12,8,14,FALSE,FALSE,FALSE,TRUE
22,80,191,82,€31M,€46K,53.4,53.2,69.6,63,60.5,81.33,5,8,6,10,6,FALSE,TRUE,FALSE,FALSE
21,78,178,66,€23M,€41K,72.4,64.8,79.4,75.4,60.83,16.33,10,12,12,13,10,TRUE,FALSE,FALSE,FALSE
20,82,181,67,€47.5M,€29K,71.8,76,88.6,74,65.17,29.67,9,13,12,12,14,FALSE,FALSE,FALSE,TRUE
21,78,168,60,€28.5M,€78K,63.4,70.8,82.2,65.4,66.67,71.33,9,6,13,8,11,FALSE,FALSE,FALSE,TRUE
17,66,170,67,€2.7M,€1K,52.2,64.2,80.6,56,45.5,22.67,10,6,9,15,11,FALSE,FALSE,FALSE,TRUE
19,77,194,75,€21M,€22K,48.4,49.4,60.4,63.4,59.17,78.67,6,12,12,9,6,FALSE,TRUE,FALSE,FALSE
21,76,182,75,€15M,€60K,64,73.6,83.2,70.4,60.67,33.33,5,13,6,12,15,FALSE,FALSE,FALSE,TRUE
18,73,172,68,€7M,€19K,54,71.8,77,54.6,69.83,68,12,10,9,6,12,FALSE,FALSE,FALSE,TRUE
37,86,172,66,€21.5M,€175K,75.8,85.4,82.8,72.4,80.17,71.67,13,9,7,14,9,FALSE,FALSE,FALSE,TRUE
34,90,185,81,€58M,€340K,86.6,82,80.8,86.4,80.5,32,15,6,12,8,10,TRUE,FALSE,FALSE,FALSE
22,85,174,64,€86.5M,€210K,75.8,79.8,86.4,74,68.17,29.33,9,8,12,8,5,FALSE,FALSE,FALSE,TRUE
22,78,194,80,€22.5M,€39K,69.2,70.6,79.2,78,72.67,72.33,6,10,12,13,8,FALSE,FALSE,FALSE,TRUE
23,74,179,73,€0,€0,63.8,69.6,79,75,72,75,8,9,11,12,5,FALSE,FALSE,FALSE,TRUE
21,76,182,75,€15M,€60K,64,73.6,83.2,70.4,60.67,33.33,5,13,6,12,15,FALSE,FALSE,FALSE,TRUE
21,78,168,60,€28.5M,€78K,63.4,70.8,82.2,65.4,66.67,71.33,9,6,13,8,11,FALSE,FALSE,FALSE,TRUE
22,81,183,72,€32.5M,€105K,69.6,75.8,81.8,72.4,68.67,48.67,5,6,14,7,8,FALSE,FALSE,FALSE,TRUE
22,84,178,75,€61.5M,€145K,78.2,76,85.8,75.4,70.17,43.67,10,6,7,6,6,FALSE,FALSE,FALSE,TRUE
19,74,177,71,€9M,€16K,58,77.8,73.6,64.2,59.83,19,7,14,6,8,8,FALSE,FALSE,FALSE,TRUE
20,86,174,60,€105M,€165K,66.8,80.4,84.4,73.8,73.67,70,12,7,11,8,8,FALSE,FALSE,FALSE,TRUE
20,77,195,85,€23.5M,€39K,70.2,63.8,75.6,79.6,61.17,39.67,10,8,5,14,6,TRUE,FALSE,FALSE,FALSE
19,72,169,58,€5.5M,€8K,63.6,62.2,83.8,63,61.33,30,5,8,12,5,6,TRUE,FALSE,FALSE,FALSE
26,87,181,74,€103.5M,€240K,76.6,82.6,83.4,75.8,77.33,76.33,7,13,10,10,9,FALSE,FALSE,FALSE,TRUE
25,82,185,77,€35M,€110K,54.6,60.6,71.4,63.6,66.5,83,8,11,12,5,6,FALSE,FALSE,FALSE,TRUE
24,78,188,84,€20M,€73K,54.6,60.2,71.4,62.8,64.33,81.33,9,14,6,5,11,FALSE,TRUE,FALSE,FALSE
23,79,184,74,€24.5M,€13K,51.6,62,65.4,70.8,68.5,79.67,6,14,14,10,14,FALSE,FALSE,FALSE,TRUE
23,84,188,82,€58.5M,€160K,68.6,74.4,74.2,80.6,76.33,82,9,8,12,12,7,FALSE,FALSE,FALSE,TRUE
23,78,169,63,€27M,€100K,57.2,64,85.2,67.2,63,73.67,9,6,12,9,11,FALSE,TRUE,FALSE,FALSE
25,84,182,74,€55.5M,€145K,71.8,79.2,77.8,79.6,80.67,81.33,7,11,15,11,11,FALSE,FALSE,FALSE,TRUE
